time,weight,date,tag,comment,unit,max,avg,duration
2775845,7.673341155052185,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2786491,7.6207393407821655,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2797137,7.58040177822113,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2807783,7.555428862571716,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2818430,7.550912261009216,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2829077,7.5649484395980835,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2839723,7.583102583885193,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2850370,7.573006987571716,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2861015,7.57504403591156,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2871660,7.677326560020447,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2882307,7.888223052024841,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2892952,8.135073065757751,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2903597,8.397420287132263,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2914242,8.616065382957458,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2924888,8.702894568443298,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2946182,8.831788420677185,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2956826,8.918395400047302,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2967471,9.099404692649841,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2978115,9.362283110618591,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2988760,9.720360159873962,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
2999426,9.98514211177826,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3010050,10.131215453147888,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3020697,10.358627676963806,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3031342,10.655556082725525,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3041988,11.019079566001892,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3052634,11.49484670162201,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3063280,11.981949210166931,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3073926,12.427297949790955,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3084573,12.839040160179138,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3095220,13.135303854942322,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3116513,13.538854002952576,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3127161,13.74355161190033,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3137806,14.07413136959076,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3148451,14.50004231929779,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3159095,14.942469000816345,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3169742,15.43855893611908,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3180389,15.983091711997986,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3191035,16.591514945030212,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3201681,17.288761496543884,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3212326,18.00044286251068,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3222972,18.7663654088974,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3233619,19.644752860069275,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3244265,20.527790427207947,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3254912,21.37655484676361,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3265559,22.300196051597595,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3286853,24.309223532676697,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3308148,26.352833151817322,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
3318794,27.38884961605072,"2022-11-17 08:00:24","Raffaela R 90","","SI",44.08685338497162,15.207683209975546,10
