time,weight,date,tag,comment,unit,max,avg,duration
2602499,12.001874446868896,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2613131,11.910838603973389,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2623764,11.850178241729736,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2634397,11.826976299285889,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2645032,11.878117084503174,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2655664,11.983277797698975,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2666298,12.120982646942139,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2676932,12.260724544525146,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2687566,12.418797016143799,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2698198,12.62947130203247,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2708833,12.899036884307861,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2719466,13.284255504608154,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2730100,13.875278949737549,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2740733,14.54029130935669,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2751367,15.26800012588501,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2772633,17.18904733657837,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2783264,18.184950351715088,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2793895,19.093136310577393,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2804527,20.063400745391846,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2815159,21.142988681793213,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2825793,22.125961780548096,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2836426,23.101805210113525,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
2847059,24.055111408233643,"2022-01-11 06:40:18","Hanna R 120","","SI",36.11100625991821,13.835799158149312,10
