time,weight,date,tag,comment,unit,max,avg,duration
2615910,2.100019156932831,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2626554,2.0806698203086853,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2637197,2.06158584356308,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2647842,2.0520660281181335,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2658488,2.043919026851654,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2669133,2.0440961718559265,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2679778,2.0498079657554626,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2690424,2.056405246257782,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2701070,2.060833156108856,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2711715,2.0643312335014343,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2722359,2.079872786998749,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2733004,2.0991336703300476,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2743648,2.1160477995872498,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2754293,2.155411183834076,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2764937,2.201106011867523,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2786226,2.2427274584770203,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2796869,2.258490264415741,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2807514,2.261634051799774,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2818158,2.266239106655121,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2828802,2.2839946150779724,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2839447,2.3153433203697205,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2850089,2.3416003584861755,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2860732,2.3650676608085632,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2871373,2.4065560698509216,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2882019,2.458582818508148,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2892663,2.5072445273399353,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2903309,2.540718734264374,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2913954,2.5768937468528748,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2924597,2.626706540584564,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2935242,2.6659812331199646,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2956533,2.789118468761444,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2967178,2.84366911649704,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2977823,2.879755675792694,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2988467,2.909864604473114,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
2999101,2.9190744757652283,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3009757,2.9298784136772156,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3020400,2.9549397826194763,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3031046,2.9559139609336853,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3041692,2.9664964079856873,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3052336,2.996959626674652,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3062983,3.0192758440971375,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3073628,3.0583733916282654,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3084273,3.1172189116477966,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3094918,3.193598210811615,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3105563,3.263734757900238,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3126852,3.400509774684906,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3137496,3.5034560561180115,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3148139,3.6023735404014587,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3158783,3.7253779768943787,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3169427,3.878004014492035,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3180071,4.071322381496429,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3190714,4.2928895354270935,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3201359,4.533894956111908,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3212004,4.803327023983002,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
3222648,5.114955842494965,"2022-11-17 07:48:39","Lausi L Finger ","","SI",42.41797059774399,18.408655368619495,10
